true_class,aythya_ferina,erithacus_rubecula,fratercula_arctica,neophron_percnopterus,numenius_arquata,oxyura_leucocephala,streptopelia_decaocto,streptopelia_turtur,upupa_epops,vanellus_vanellus
aythya_ferina,58,0,3,1,0,13,1,0,0,4
erithacus_rubecula,1,63,1,0,1,0,3,2,9,0
fratercula_arctica,7,1,62,3,0,1,2,1,1,2
neophron_percnopterus,0,2,2,61,2,0,4,2,3,4
numenius_arquata,3,2,1,7,45,2,0,1,4,15
oxyura_leucocephala,15,0,4,0,1,58,0,0,0,2
streptopelia_decaocto,0,3,1,2,3,0,58,9,2,2
streptopelia_turtur,0,4,3,0,1,0,8,59,3,2
upupa_epops,0,3,3,3,3,0,4,6,52,6
vanellus_vanellus,0,1,0,3,15,0,1,3,1,56
