epoch,train_loss,train_acc,val_loss,val_acc,duration_s
1,1.5426,0.4919,1.0044,0.6675,28
2,1.0885,0.6447,0.898,0.7025,27
3,0.9697,0.6675,0.8732,0.7063,27
4,0.908,0.6872,0.8489,0.7137,27
5,0.8579,0.7106,0.8519,0.7075,28
6,0.8258,0.7116,0.8286,0.71,27
7,0.8057,0.7147,0.8282,0.705,27
8,0.7819,0.7288,0.8247,0.7087,27
9,0.7578,0.7469,0.828,0.7137,27
10,0.7469,0.74,0.8254,0.7188,41
11,0.7511,0.7391,0.8218,0.7125,42
12,0.7259,0.7391,0.818,0.715,41
13,0.7064,0.7512,0.8229,0.7137,41
14,0.7092,0.7506,0.8168,0.7188,40
15,0.73,0.7406,0.8193,0.7188,40
16,0.6825,0.7666,0.823,0.7212,40
17,0.7169,0.7394,0.8203,0.7137,40
18,0.6818,0.7659,0.8201,0.71,41
19,0.6832,0.7566,0.8198,0.7163,40
20,0.6672,0.77,0.8194,0.715,40
