true_class,aythya_ferina,erithacus_rubecula,fratercula_arctica,neophron_percnopterus,numenius_arquata,oxyura_leucocephala,streptopelia_decaocto,streptopelia_turtur,upupa_epops,vanellus_vanellus
aythya_ferina,51,0,3,2,1,19,2,0,0,2
erithacus_rubecula,0,62,1,0,1,0,5,1,10,0
fratercula_arctica,3,1,64,3,0,2,3,1,1,2
neophron_percnopterus,1,0,1,65,4,0,1,1,5,2
numenius_arquata,4,2,1,5,46,1,2,0,4,15
oxyura_leucocephala,15,0,3,2,2,57,0,1,0,0
streptopelia_decaocto,0,4,0,4,3,0,55,8,5,1
streptopelia_turtur,0,3,3,2,2,1,13,50,5,1
upupa_epops,0,6,1,2,2,0,3,6,55,5
vanellus_vanellus,2,0,1,3,13,1,2,1,0,57
