epoch,train_loss,train_acc,val_loss,val_acc,duration_s
1,1.452,0.5044,0.8456,0.7125,29
2,0.8739,0.705,0.7336,0.75,27
3,0.7144,0.755,0.6867,0.7488,27
4,0.6187,0.7887,0.6596,0.7625,26
5,0.5533,0.8069,0.6707,0.7712,26
6,0.514,0.8281,0.6461,0.7825,26
7,0.4587,0.835,0.6766,0.7588,27
8,0.4307,0.8528,0.6727,0.7925,26
9,0.4023,0.8606,0.6652,0.7738,27
10,0.3698,0.8756,0.6718,0.7825,26
11,0.3346,0.8859,0.6665,0.79,27
12,0.316,0.8906,0.6633,0.7863,26
13,0.2835,0.8941,0.6856,0.7913,26
14,0.2817,0.9006,0.6896,0.7925,37
15,0.2538,0.9119,0.703,0.7837,38
